h,s,b
233,20,25
233,255,2
233,72,7
233,25,20
233,255,2
233,255,2
233,24,21
233,21,24
233,51,10
233,18,28
233,21,24
233,21,24
233,26,19
233,22,23
233,18,28
239,65,43
239,112,25
240,56,27
240,189,31
240,81,28
240,153,15
240,51,30
240,208,11
240,180,17
240,131,33
240,41,37
240,99,23
240,170,39
240,52,29
240,91,25
240,67,34
240,52,44
241,103,47
241,118,41
241,173,28
244,153,35
244,184,29
244,36,28
244,40,25
244,157,34
244,102,10
244,34,30
244,177,36
244,193,33
246,95,51
246,138,35
246,81,47
246,161,30
247,235,13
247,113,27
247,235,13
248,109,58
248,155,41
248,177,36
248,255,14
248,159,40
249,199,32
249,182,35
249,151,37
249,102,55
249,165,34
250,188,27
250,75,34
250,120,19
250,150,34
250,62,37
250,95,24
250,231,11
250,255,19
250,74,31
250,85,27
250,88,55
250,122,54
250,31,72
250,83,61
250,145,35
250,35,71
250,236,28
251,255,11
251,143,39
251,255,22
251,255,25
251,151,37
252,136,54
252,94,43
252,255,20
252,104,49
252,255,20
252,104,49
252,168,44
253,161,41
253,255,28
